title,company,location,summary,description
Fullstack Engineer,TensorWave,"Las Vegas, NV",,"At TensorWave, we’re leading the charge in AI compute, building a versatile cloud platform that’s driving the next generation of AI innovation. We’re focused on creating a foundation that empowers cutting-edge advancements in intelligent computing, pushing the boundaries of what’s possible in the AI landscape. About the Role: We're looking for a Senior Fullstack Software Engineer to drive the development of cloud-based dashboards, monitoring tools, and internal systems. This role is ideal for someone who thrives in infrastructure-heavy environments, enjoys working across the stack, and can own systems end-to-end—from setup to testing to deployment. You'll be a key contributor in building highly reliable, performant, and scalable tools that support our engineering and operations teams. Responsibilities: Design and develop robust cloud dashboards for infrastructure monitoring and operations. Build and maintain system setup, configuration pipelines, and automation tooling. Architect and implement fullstack features across backend (Node.js, Go, Python) and frontend (React, Next.js, TypeScript). Develop scalable APIs, perform system integration, and ensure high-performance data handling (MongoDB). Own system testing strategy—unit, integration, and end-to-end—with a focus on reliability and performance. Collaborate cross-functionally with DevOps, Product, and QA for smooth delivery and deployment. Essential Skills & Qualifications: 5+ years of fullstack engineering experience across cloud-native environments. Strong proficiency in Node.js , Go , Python , MongoDB , React , Next.js , and TypeScript . Experience building real-time dashboards and monitoring tools (Grafana, Prometheus, or similar a plus). Solid grasp of system architecture, testing practices, and performance optimization. DevOps familiarity (CI/CD, containers, cloud platforms—AWS/GCP/Azure). We’re looking for resilient, adaptable people to join our team—folks who enjoy collaborating and tackling tough challenges. We’re all about offering real opportunities for growth, letting you dive into complex problems and make a meaningful impact through creative solutions. If you're a driven contributor, we encourage you to explore opportunities to make an impact at TensorWave. Join us as we redefine the possibilities of intelligent computing. What We Bring: Stock Options 100% paid Medical, Dental, and Vision insurance Life and Voluntary Supplemental Insurance Short Term Disability Insurance Flexible Spending Account 401(k) Flexible PTO Paid Holidays Parental Leave Mental Health Benefits through Spring Health"
Data Engineer,Tescra,"Las Vegas, NV 89145(Summerlin North area)",,"Full Stack Developer Must Have: ID: Achnet-Ach-D309A2 Full Stack Developer Job Description Full Stack Developer Location: 10161 Park Run Drive, Las Vegas, NV, USA (On-site) Hiring Company Name: ACHNET Inc Hiring Company ... 6 days ago FullTime Software Development Engineer 2025 Nit Kurukshetra Must Have: ID: Achnet-Tec-B787BA Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 6 days ago FullTime Software Development Engineer 2025 Nit Srinagar Must Have: ID: Achnet-Tec-D7AC40 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 6 days ago FullTime Inside Sales Representative Must Have: ID: Achnet-Sal-6E400F Inside Sales RepresentativeLocation: IndiaHiring Company Name: ACHNET IncHiring Company Location: Bengaluru, IndiaJob Type: Full-timeExperience Level: Mid-Level (3-4 years)Job ... 12 days ago FullTime Java Spring Boot Developer Must Have: ID: Tescra-All-5EE10C Java Spring Boot Developer is primarily responsible fordeveloping, maintaining, and deploying scalable, high-performance, and secure applications using the Java programming ... 17 days ago FullTime Chief Marketing Officer (Cmo) Must Have: ID: Achnet-Sal-3BA41C This is a full-time on-site role for a Chief Marketing Officer (CMO) located in Bengaluru. The CMO will oversee market planning and research, manage public relations ... 18 days ago FullTime Software Development Engineer 2025 Nit Allahabad Must Have: ID: Achnet-Tec-4189B0 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 20 days ago FullTime Software Development Engineer 2025 Nit Silchar Must Have: ID: Achnet-Tec-67E234 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 22 days ago FullTime Software Development Engineer 2025 Nit Bhopal Must Have: ID: Achnet-Tec-02A083 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 24 days ago FullTime Software Development Engineer 2025 Iit Dharwad Must Have: ID: Achnet-Tec-72D2FA Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 24 days ago FullTime"
Bi Developer,Tescra,"Las Vegas, NV 89145(Summerlin North area)",,"Full Stack Developer Must Have: ID: Achnet-Ach-D309A2 Full Stack Developer Job Description Full Stack Developer Location: 10161 Park Run Drive, Las Vegas, NV, USA (On-site) Hiring Company Name: ACHNET Inc Hiring Company ... 6 days ago FullTime Software Development Engineer 2025 Nit Kurukshetra Must Have: ID: Achnet-Tec-B787BA Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 6 days ago FullTime Software Development Engineer 2025 Nit Srinagar Must Have: ID: Achnet-Tec-D7AC40 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 6 days ago FullTime Inside Sales Representative Must Have: ID: Achnet-Sal-6E400F Inside Sales RepresentativeLocation: IndiaHiring Company Name: ACHNET IncHiring Company Location: Bengaluru, IndiaJob Type: Full-timeExperience Level: Mid-Level (3-4 years)Job ... 12 days ago FullTime Java Spring Boot Developer Must Have: ID: Tescra-All-5EE10C Java Spring Boot Developer is primarily responsible fordeveloping, maintaining, and deploying scalable, high-performance, and secure applications using the Java programming ... 17 days ago FullTime Chief Marketing Officer (Cmo) Must Have: ID: Achnet-Sal-3BA41C This is a full-time on-site role for a Chief Marketing Officer (CMO) located in Bengaluru. The CMO will oversee market planning and research, manage public relations ... 18 days ago FullTime Software Development Engineer 2025 Nit Allahabad Must Have: ID: Achnet-Tec-4189B0 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 20 days ago FullTime Software Development Engineer 2025 Nit Silchar Must Have: ID: Achnet-Tec-67E234 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 22 days ago FullTime Software Development Engineer 2025 Nit Bhopal Must Have: ID: Achnet-Tec-02A083 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 24 days ago FullTime Software Development Engineer 2025 Iit Dharwad Must Have: ID: Achnet-Tec-72D2FA Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 24 days ago FullTime"
Software Engineer_ Backend,Tescra,"Las Vegas, NV 89145(Summerlin North area)",,"Full Stack Developer Must Have: ID: Achnet-Ach-D309A2 Full Stack Developer Job Description Full Stack Developer Location: 10161 Park Run Drive, Las Vegas, NV, USA (On-site) Hiring Company Name: ACHNET Inc Hiring Company ... 6 days ago FullTime Software Development Engineer 2025 Nit Kurukshetra Must Have: ID: Achnet-Tec-B787BA Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 6 days ago FullTime Software Development Engineer 2025 Nit Srinagar Must Have: ID: Achnet-Tec-D7AC40 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 6 days ago FullTime Inside Sales Representative Must Have: ID: Achnet-Sal-6E400F Inside Sales RepresentativeLocation: IndiaHiring Company Name: ACHNET IncHiring Company Location: Bengaluru, IndiaJob Type: Full-timeExperience Level: Mid-Level (3-4 years)Job ... 12 days ago FullTime Java Spring Boot Developer Must Have: ID: Tescra-All-5EE10C Java Spring Boot Developer is primarily responsible fordeveloping, maintaining, and deploying scalable, high-performance, and secure applications using the Java programming ... 17 days ago FullTime Chief Marketing Officer (Cmo) Must Have: ID: Achnet-Sal-3BA41C This is a full-time on-site role for a Chief Marketing Officer (CMO) located in Bengaluru. The CMO will oversee market planning and research, manage public relations ... 18 days ago FullTime Software Development Engineer 2025 Nit Allahabad Must Have: ID: Achnet-Tec-4189B0 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 20 days ago FullTime Software Development Engineer 2025 Nit Silchar Must Have: ID: Achnet-Tec-67E234 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 22 days ago FullTime Software Development Engineer 2025 Nit Bhopal Must Have: ID: Achnet-Tec-02A083 Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 24 days ago FullTime Software Development Engineer 2025 Iit Dharwad Must Have: ID: Achnet-Tec-72D2FA Achnet Technologies Inc is looking for Engineers who can build client-side (front-end) logic and have the understanding of server-side (back-end) apart from building and ... 24 days ago FullTime"
Healthcare Software Developer,Insight Disability Services,"Las Vegas, NV 89146(Spring Valley area)",,"<Overview> Join our innovative team as a Software Engineer and become a vital contributor to developing cutting-edge software solutions that drive our business forward. In this dynamic role, you'll harness your expertise in a broad range of technologies to design, develop, and maintain robust applications. Your work will empower users, optimize processes, and support our mission to deliver exceptional digital experiences. We foster an energetic environment where continuous learning and collaboration thrive, offering you the opportunity to grow your skills across diverse platforms and frameworks. <Duties> Collaborate with cross-functional teams to gather requirements and translate them into scalable software solutions using languages such as Java, Python, C++, C#, and JavaScript. Design, develop, test, and deploy web applications utilizing frameworks like Ruby on Rails, React, Express, and .NET to ensure seamless user experiences. Build and maintain RESTful APIs to enable efficient communication between front-end interfaces and back-end systems. Manage cloud infrastructure deployments on AWS and Azure, ensuring high availability and security for all applications. Develop and optimize database systems using MySQL, SQL Server, and other relational databases; implement efficient queries and data models. Maintain version control using GitHub, SVN, and Git; participate in code reviews to uphold quality standards. Implement security best practices including RBAC (Role-Based Access Control) to safeguard sensitive information across platforms. Contribute actively within Agile teams by participating in sprint planning, stand-ups, retrospectives, and continuous integration/continuous deployment (CI/CD) pipelines. Support application development on Linux and Windows environments; troubleshoot issues promptly to minimize downtime. Engage in front-end development tasks involving HTML5, CSS3, JavaScript frameworks like React or Vue.js for rich user interfaces. Integrate third-party APIs and develop custom REST APIs to extend application functionalities. Apply knowledge of quantum engineering principles where applicable for specialized projects requiring advanced computational techniques. <Experience> Proven experience in software development with a strong foundation in programming languages such as Java, Python, C++, C#, or VBA. Hands-on experience working with IT infrastructure components including cloud services (AWS, Azure), Linux environments, and application servers. Demonstrated proficiency in web development frameworks like Ruby on Rails, React Express, or similar technologies for building scalable web applications. Familiarity with version control systems such as GitHub, SVN, or Git to manage code repositories effectively. Solid understanding of RESTful API design principles and experience integrating external APIs into applications. Knowledge of SQL databases including MySQL or SQL Server; ability to write optimized queries for data retrieval and manipulation. Experience working within Agile methodologies—participating in sprints, stand-ups, backlog grooming—and utilizing tools like Jira or Trello is highly desirable. Exposure to application security practices including RBAC (Role-Based Access Control), authentication protocols, and secure coding standards. Ability to work across multiple platforms including Linux and Windows; familiarity with front-end technologies such as JavaScript frameworks is a plus. Prior involvement in projects utilizing version control systems like GitHub or SVN for collaborative development environments. Join us if you're passionate about crafting innovative software solutions that make a difference! We’re dedicated to fostering an inclusive environment where talented engineers can thrive—building impactful products while advancing their careers through ongoing learning opportunities and collaborative teamwork. All roles are paid positions that offer meaningful challenges aligned with your skills and aspirations! Pay: $93,444.42 - $112,535.22 per year Work Location: In person"
Proficient iOS UIKit Developer,ARYA Inc.,"Las Vegas, NV 89109",,"Proficient iOS UIKit Developer Company: ARYA Website: https://arya.earth Location: On-Site Las Vegas Office, Opportunity to work from our Belfast Office & Remote Options Employment Type: Full-Time Salary Range: $75,000/year+ About ARYA ARYA is revolutionizing the world of integrated enterprise communications and data visualization. We specialize in empowering organizations with business resilience, continuity, and crisis communications solutions. By leveraging cutting-edge quantum-safe encryption and advanced AI, ARYA ensures secure, seamless, and intelligent communication across your enterprise. Our mission is to help businesses navigate challenges with confidence, turning disruption into opportunity through innovation and technology. Job Summary ARYA is seeking a talented iOS Developer with deep UIKit expertise to join our innovative team. In this role, you will help build and optimize communication-focused iOS applications that redefine enterprise messaging and real-time data visualization. You’ll collaborate with a passionate team to create robust, scalable, and visually compelling mobile experiences built entirely with UIKit. Key Responsibilities ● Design, develop, and maintain high-quality UIKit-based iOS applications . ● Build and enhance communication features such as messaging, presence, notifications, and media handling. ● Integrate and manage RealmHelper for efficient local data storage, synchronization, and offline support. ● Collaborate closely with designers, product managers, and backend engineers to deliver seamless, intuitive user experiences. ● Optimize app performance and troubleshoot issues to ensure responsiveness and reliability across all iOS devices. ● Write clean, reusable, and well-structured UIKit code following modern architectural patterns (MVC, MVVM, etc.). ● Participate in code reviews, sprint planning, and team discussions to improve development processes. ● Stay current with the latest UIKit capabilities, iOS SDK updates, and communication frameworks. Requirements ● Proficient in UIKit with a strong understanding of related iOS frameworks (Core Animation, Core Data, AVFoundation, etc.). ● Proven experience developing communication or real-time collaboration apps (e.g., chat, VoIP, or video platforms). ● Hands-on experience using Realm and RealmHelper for local database management and synchronization. ● Strong understanding of RESTful APIs and WebSocket integration for real-time data exchange. ● Familiarity with Git / GitHub / GitLab version control and agile development workflows. ● Solid grasp of UI/UX design principles , accessibility standards, and adaptive layouts for diverse screen sizes. ● Experience with app performance optimization, memory management, and debugging using Xcode and Instruments. ● Excellent analytical, problem-solving, and communication skills. Preferred Qualifications ● Bachelor’s degree in Computer Science, Software Engineering, or a related field (or equivalent experience). ● Strong background in UIKit and experience building scalable, visually rich interfaces for complex applications. ● Background in real-time messaging systems , WebRTC , or push notification services (APNs) . ● Familiarity with data security , encryption , and secure communication protocols . Benefits ● Competitive salary and performance-based bonuses. ● Professional development opportunities and access to the latest tools and technologies. Application If you’re ready to make an impact with ARYA, we’d love to hear from you! Submit your application, including your resume, portfolio (if applicable), and any relevant links to projects. Can apply through Indeed or via email ariana.brandt@arya.earth Job Type: Full-Time Schedule: Monday to Friday Work Location: On-Site Las Vegas Office, Opportunity to work from our Belfast Office & Remote Options Job Type: Full-time Base Pay: $75,000.00 per year Work Location: In person"
Game Developer,Spinplay Games Inc,"Hybrid work in Las Vegas, NV 89119",,"At SpinPlay Games, not only do we take pride in our slots, we take pride in ourselves. As a team of experienced and diverse individuals, we are constantly asking ourselves “what next?” We are ever evolving and always looking to be better than we currently are. We are a team of talented perfectionists who band together to make sure our games are great. We pride ourselves in our ability to think outside of the box and to work individually in order to bring each piece of the puzzle together. We pride ourselves in our passion to achieve something more and to build better games, and we pride ourselves on our passion to bring Las Vegas to the world. Though we are based in Las Vegas, Nevada, we are fully remote with team members all throughout the world! We believe that communication is key and it keeps us successful in our process. Relocation assistance is available. The Game Developer is responsible for creating slot game front-end client software using our internal game engine. The Game Developer will act in both a project owner and project support role, working across multiple projects within a single year. The ideal candidate will be responsible for conceptualizing and executing clear, quality code to develop the best software. Responsibilities: Designs, codes and debugs core platform components. Works at all stages of the product lifecycle from requirements capture, through design and implementation to system testing and integration. Increases efficiency through automation, workflow streamlining, and system optimization. Keeps current with new technologies and makes recommendations to the team. Collaborates with members of the QA and delivery teams to ensure products are tested, installed and maintained to a high standard. Promotes high code standards within the team. Maintains and enhances existing product code. Actively participates in the agile scrum process. Facilitates and supports the agile development process. Sets up, configures and maintains development, testing and staging environments. Qualifications: 6+ years experience creating slot games 6+ years experience developing component-based web applications and user interfaces Demonstrated expertise in all aspects of browser-based JavaScript (ES5) Demonstrated expertise in at least one modern front-end platform (e.g. Angular, React) Demonstrated understanding of “ this ”, closures, lexical scoping, callbacks, XHR, DOM, global pollution and design patterns Knowledge of ES6 approaches Knowledge of TypeScript Knowledge of Node/NPM as part of development workflow. Knowledge of build tools (webpack, gulp etc.) Preferred: Knowledge of ASP.NET MVC, ANgularJS 1.5+, CSS pre-processors (LESS, SASS), Canvas/Fabric JS, Agile/Scrum SpinPlay Games is an equal employment opportunity employer. SpinPlay Games’s policy prohibits discrimination against any applicant or employee based on race, color, sex, religion, national origin, age, past or present military service, disability, genetic information, or any other basis protected by applicable federal, state, or local laws. SpinPlay Games also prohibits harassment of applicants or employees based on any of these protected categories. Job Type: Full-time Pay: From $100,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Health insurance Paid time off Vision insurance Application Question(s): How many years of Javascript experience do you have? How many years of professional experience in Gaming/Casino do you have? Are you a resident of or willing to relocate to Nevada or Texas? Work Location: Hybrid remote in Las Vegas, NV 89119"
Software Support Engineer,Konami Gaming Inc,"Las Vegas, NV 89119(Paradise area)",,"Konami Gaming is looking for a Software Support Engineer to join our team! This position is responsible for technical support, customer support, and developing, deploying, maintaining, testing, and evaluating platform/gaming software for Games R&D related (e.g., iGaming, HHR, NYL, bingo, etc.) systems, games, and infrastructure. Responsibilities include providing technical support; providing customer/operator support; troubleshooting technical related issues; researching and escalating reported issues; providing immediate assistance when issues are reported; updating/creating technical documentation; developing/maintaining/testing software. The incumbent will ensure common issues and resolutions are well documented and shared amongst team members. This position requires the working of non-business hours and holidays to provide immediate support to customers and operators with no-to-minimum supervision. This is a part-time role, and must be available to work holidays, weekends and nights. What you'll be doing: Function as first point of contact when there is a customer or operator request, question, or issue. Providing technical and customer support to clients, customers, and operators. Troubleshooting Games R&D related systems, game, and user related issues. Escalating issues to appropriate team members after thorough research/testing is conducted/provided. Providing immediate assistance to common Games R&D related system, game, and user related issues. Maintains and updates customer relationship management and bug tracking systems. Updates and creates clear/concise technical documentation. Working non-business hours and holidays to provide immediate support to the customers and operators. Performing additional tasks or projects to improve overall productivity, efficiency, and level of service, as assigned. Develops and works on integrations on multiple platforms (e.g., server platforms, game platforms, etc.). Develops and works on APIs for integrations and operator requirements/features. Develops and works on game related features, improvements, and frameworks. Develops and maintains installation, configuration procedures, development environments, and development tools. Develops, researches, and recommends platform, server, deployment, and virtualization tools (VirtualBox, VMware, Vagrant, Docker, AWS, etc.). Always complies with the company’s regulatory guidelines and corporate policies. Maintains confidentiality regarding the company, products, and employee information. Performs other related duties as assigned. Konami Offers Competitive Wages Great 401(k) plan with company match Comprehensive health benefits package Generous Company paid Holidays and Paid Time Off (PTO) Tuition reimbursement program About Konami Gaming, Inc.: For Players. For Operators. For Each Other. Konami Gaming, Inc. entered the US gaming market in the 2000s and we have spent the last two decades moving the industry forward with breakthrough games, head turning cabinets, and a casino management system that brings it all together. Over that time, we have garnered our share of awards and established a corporate culture of success and innovation. A world leader in systems and game development, Konami can offer you the best of both worlds - stability within a dynamic, creative environment. We are excited to announce that Konami Gaming Inc. is growing and expanding into new product lines, including premium and standard games, and new market segments. As we enter a new growth period for the Company, we are expanding our reach to attract top talent in game studio operations, technology and product development. What we'll want you to have: Pursuing or having a bachelor’s degree from a four-year college or university (or higher degree) in a related field. Demonstrates basic industry knowledge relevant to the gaming industry, technical system support, IT knowledge, and other technical concepts. One year plus related experience with technical system/IT support. IT system and networking experience is preferred. Gaming industry game/system/infrastructure experience preferred. Physical server and cloud-based servers (e.g., AWS) deployment experience is preferred. Ability to communicate professionally and efficiently, both verbal and written with all levels of the business. Must be able to obtain and maintain Gaming licensure(s). Intermediate and above level understanding and usage of Microsoft Office products. Must be able to communicate professionally and efficiently (verbal and written) with all levels of the business. Must be able to obtain and retain gaming licensure. Work Environment: Part time/up to 20 hours. Must be available evenings, weekends, and holidays. Must be comfortable working in an area with limited working space for long hours with the ability to remain seated at computer terminal for extended periods of time. Extreme repetitive motion using keyboard, mouse, and telephone. Must be able to work at assigned location to enable direct communications and interactions with team members, management, and others as necessary, unless traveling for a business-related purpose. Ability to handle directives, assess situations, enter into dialogue and complete tasks. Must be able to communicate verbally and write clearly in English. Ability to work at a remote office and come into the main corporate office when needed. Ability to work effectively and efficiently in a high-stress, fast-paced, and high-pressure environment while maintaining high standards of accuracy, paying attention to detail, and meeting assigned deadlines. Demonstrates high integrity, trust, and strict confidentiality. Ability to maintain excellent communication and a positive, respectful, and professional attitude and relationship with clients, employees, peers, co-workers, all levels of management, and all outside organizations conducting business or otherwise interacting with the company. Ability to always act autonomously while adhering to overall department and company policies and procedures. Position shall work primarily in a remote office environment. Konami Gaming is an Equal Opportunity Employer committed to diversity in the workplace. All qualified employees and applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, disability, marital status, protected veteran status, gender identity or any other factor protected by applicable federal, state, or local laws. If you need a reasonable accommodation because of a disability for any part of the employment process, please call 702-616-1400 and let us know the nature of your request and your contact information."
Software Support Engineer,Konami Gaming Inc,"Las Vegas, NV 89119(Paradise area)",,
Senior Web Full Stack Engineer,Skillz Inc.,"Las Vegas, NV",,"About the job If you want to build, develop, and see your impact, join Skillz and level up your Career! Skillz, the first publicly-traded mobile eSports platform that hosts billions of casual mobile gaming tournaments for millions of players worldwide, is revolutionizing the gaming industry. By fostering social competition within games, the Skillz platform helps developers build multi-million dollar franchises by enabling real-money activity in their games and providing operational support while connecting players through fair, enjoyable, and meaningful competition. At Skillz, we understand the thrill of achievement and the satisfaction of overcoming challenges. Want to join a team made up of alums from Apple, Amazon, Google, Microsoft, Tesla, Twitter (X), Roblox, Zynga, Samsung, Lyft, EA, Riot, Nexon, Gameskraft, PlayStation, Unity, Scopely, Tinder, Intel, Deloitte, EY, Twitch, DraftKings, Wynn Resorts and more? Learn more to see if Skillz is the right fit for your next career move! Why Skillz Culture of Impact: Join a united team of builders, creators, innovators, and entrepreneurs driven by the desire to win. At Skillz, we create value, obsess over our product, and make a difference in the world. Comprehensive Benefits: Enjoy peace of mind with our comprehensive benefits package, which includes 100% coverage for medical, dental, and vision expenses for both you and your dependents. Additionally, take advantage of our 401K matching, equity incentives, pre-tax benefit options, and more. Wellness Support: Enhance your well-being with our array of wellness initiatives, including meditation and mental health resources, physical fitness coaching and classes, family planning assistance, health and parenting guidance, virtual therapy sessions, and more. Time off: We offer competitive paid time off (PTO) & company holidays, including a company-wide shutdown between Christmas and New Years, to help you recharge and pursue your passions. Las Vegas Headquarters: Skillz strongly believes in a five-day a week, collaborative office environment at our 36,000+ square foot headquarters. Enjoy free daily breakfast and catered lunch, snacks, a full-size gym with showers, commuter benefits, insurance, team bonding events and many more. Recognized Success: Skillz has earned recognition as one of Fast Company's Most Innovative Companies, CNBC's Disruptor 50, San Francisco Business Times' Best Places to Work, Forbes' Next Billion-Dollar Startups, and the #1 fastest-growing company in America on the Inc. 5000 list, and many more. Development Opportunities: We hold our employees to high standards while providing them with professional growth opportunities. We operate like a startup, and encourage all of our employees to collaborate and voice feedback about our product and ways we can improve as a business. We believe in never settling, and that also pertains to your growth. Experience 5+ years of professional software development experience (excluding internships). 2+ years of experience building scalable, user-facing web applications using React or similar modern JavaScript frameworks with JavaScript or TypeScript. 3+ years of backend development experience using one or more of Ruby, Go, Java, or Node.js, with a solid understanding of API design, database integration, and service-oriented architecture. 2+ years of experience working with relational databases (e.g. MySQL). Bonus: 2+ years of experience with cloud infrastructure, preferably AWS or Kubernetes (K8s), managing and deploying backend services in production. Key Competencies Proven track record of building and delivering consumer-facing products and features from scratch. Strong communication skills to handle multiple projects in a fast-paced environment and collaborate effectively with cross-functional partners, such as product and design. Requirements Able to work in-office 5 days a week in Las Vegas HQ (relocation assistance available for brand new Vegas HQ). Experience in the Gaming Industry (ideally). Alternatively - experience with Unity and a passion for building services for games. Bachelor's degree in Computer Science or a technical field of study, or equivalent industry experience Total Starting Compensation including Base + Equity: $153,600 Location: Las Vegas HQ - Onsite for 5 days per week. Join Skillz and Let's Redefine the Boundaries of Gaming! Together, we'll create a world where skill, passion, and innovation thrive. We look forward to having you on board! #LI-Onsite #LI- Skillz embraces diversity and is proud to be an equal opportunity employer. As part of our commitment to diversifying our workforce, we do not discriminate on the basis of age, race, sex, gender, gender identity, color, religion, national origin, sexual orientation, marital status, citizenship, veteran status, or disability status, and we operate in compliance with the San Francisco Fair Chance Ordinance ."
